Front,Back,Translation,Example
Hello,Привет,Russian greeting,"Hello, how are you today?"
Goodbye,До свидания,Farewell,"Goodbye, see you tomorrow!"
Thank you,Спасибо,Gratitude,"Thank you for your help!"
Please,Пожалуйста,Polite request,"Please pass the salt."
Yes,Да,Affirmative,"""Yes, I agree with you."""
No,Нет,Negative,"No, I don't think so."
Good morning,Доброе утро,Morning greeting,"Good morning! Did you sleep well?"
Good night,Спокойной ночи,Night greeting,"Good night, sweet dreams!"
How are you?,Как дела?,Common question,"How are you? I hope you're doing well."
I'm fine,Я в порядке,Response,"I'm fine, thanks for asking!"
Water,Вода,Essential liquid,"Can I have a glass of water, please?"
Food,Еда,Nourishment,"The food here is delicious!"
Friend,Друг,Companion,"She is my best friend."
Family,Семья,Relatives,"I love spending time with my family."
House,Дом,Building,"We just bought a new house!"
